
========================================================================
RUN STARTED  2026-07-05 05:19:24
site_pipeline.py https://thequantuminsider.com/2023/10/26/psirch-unveils-new-partnership-with-the-university-of-marylands-mid-atlantic-quantum-alliance/
========================================================================

[05:19:24 +0s | thequantuminsider_2023_10_26_psirch_unveils_new_partnership_with_the_university_of_maryla_05ec20d7] === 0 crawl site ===
[05:19:26 +1s | thequantuminsider_2023_10_26_psirch_unveils_new_partnership_with_the_university_of_maryla_05ec20d7] [INIT].... → Crawl4AI 0.8.6 
[05:19:28 +4s | thequantuminsider_2023_10_26_psirch_unveils_new_partnership_with_the_university_of_maryla_05ec20d7] [FETCH]... ↓ https://thequantuminsider.com/2023/10/26/psirch-...sity-of-marylands-mid-atlantic-quantum-alliance/  | ✓ | ⏱: 2.55s 
[05:19:29 +4s | thequantuminsider_2023_10_26_psirch_unveils_new_partnership_with_the_university_of_maryla_05ec20d7] [SCRAPE].. ◆ https://thequantuminsider.com/2023/10/26/psirch-...sity-of-marylands-mid-atlantic-quantum-alliance/  | ✓ | ⏱: 0.21s 
[05:19:29 +4s | thequantuminsider_2023_10_26_psirch_unveils_new_partnership_with_the_university_of_maryla_05ec20d7] [COMPLETE] ● https://thequantuminsider.com/2023/10/26/psirch-...sity-of-marylands-mid-atlantic-quantum-alliance/  | ✓ | ⏱: 2.79s 
[05:19:29 +4s | thequantuminsider_2023_10_26_psirch_unveils_new_partnership_with_the_university_of_maryla_05ec20d7] Saved: crawl_output/54a88f66bd_thequantuminsider.com_2023_10_26_psirch-unveils-new-partnership-with-the-university-of-marylands-mid-atlantic-quantum-alliance.json

[05:19:29 +5s | thequantuminsider_2023_10_26_psirch_unveils_new_partnership_with_the_university_of_maryla_05ec20d7] === 1 actor extraction ===
[05:19:29 +5s | thequantuminsider_2023_10_26_psirch_unveils_new_partnership_with_the_university_of_maryla_05ec20d7] Reading page (1/1): https://thequantuminsider.com/2023/10/26/psirch-unveils-new-partnership-with-the-university-of-marylands-mid-atlantic-quantum-alliance
[05:19:29 +5s | thequantuminsider_2023_10_26_psirch_unveils_new_partnership_with_the_university_of_maryla_05ec20d7] Extracting actors: https://thequantuminsider.com/2023/10/26/psirch-unveils-new-partnership-with-the-university-of-marylands-mid-atlantic-quantum-alliance (1/1), chunk 1/36
[05:19:36 +12s | thequantuminsider_2023_10_26_psirch_unveils_new_partnership_with_the_university_of_maryla_05ec20d7] Repaired malformed JSON.
