
========================================================================
RUN STARTED  2026-07-02 09:35:25
site_pipeline.py https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure/
========================================================================

[09:35:25 +0s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] === 0 crawl site ===
[09:35:27 +2s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] [INIT].... → Crawl4AI 0.8.6 
[09:35:30 +5s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] [FETCH]... ↓ https://thequantuminsider.com/2024/04/11/hold-ma...y-vulnerabilities-in-existing-it-infrastructure/  | ✓ | ⏱: 2.98s 
[09:35:31 +5s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] [SCRAPE].. ◆ https://thequantuminsider.com/2024/04/11/hold-ma...y-vulnerabilities-in-existing-it-infrastructure/  | ✓ | ⏱: 0.23s 
[09:35:31 +5s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] [COMPLETE] ● https://thequantuminsider.com/2024/04/11/hold-ma...y-vulnerabilities-in-existing-it-infrastructure/  | ✓ | ⏱: 3.25s 
[09:35:31 +5s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Saved: crawl_output/454a261fb6_thequantuminsider.com_2024_04_11_hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure.json

[09:35:31 +6s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] === 1 actor extraction ===
[09:35:31 +6s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Reading page (1/1): https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure
[09:35:31 +6s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 1/38
[09:35:38 +12s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:35:38 +12s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 2/38
[09:35:48 +22s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:35:48 +22s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 3/38
[09:35:53 +28s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:35:53 +28s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 4/38
[09:35:59 +33s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:35:59 +33s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 5/38
[09:36:08 +43s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:36:08 +43s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 6/38
[09:36:15 +49s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:36:15 +49s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 7/38
[09:36:24 +58s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:36:24 +58s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 8/38
[09:36:30 +1m 5s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:36:30 +1m 5s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 9/38
[09:36:37 +1m 12s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:36:37 +1m 12s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 10/38
[09:36:42 +1m 17s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:36:42 +1m 17s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 11/38
[09:36:48 +1m 23s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:36:48 +1m 23s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 12/38
[09:36:53 +1m 28s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
[09:36:53 +1m 28s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Extracting actors: https://thequantuminsider.com/2024/04/11/hold-march-27-9-a-m-et-softbank-telecom-successfully-uses-sandboxaqs-aqtive-guard-to-identify-undetected-security-vulnerabilities-in-existing-it-infrastructure (1/1), chunk 13/38
[09:37:00 +1m 35s | thequantuminsider_2024_04_11_hold_march_27_9_a_m_et_softbank_telecom_successfully_uses_sa_71b29617] Repaired malformed JSON.
