
========================================================================
RUN STARTED  2026-07-05 05:20:39
site_pipeline.py https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai/
========================================================================

[05:20:39 +0s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] === 0 crawl site ===
[05:20:41 +1s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] [INIT].... → Crawl4AI 0.8.6 
[05:20:43 +4s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] [FETCH]... ↓ https://thequantuminsider.com/2023/10/26/bluequb...lators-and-infrastructure-to-advance-quantum-ai/  | ✓ | ⏱: 2.41s 
[05:20:43 +4s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] [SCRAPE].. ◆ https://thequantuminsider.com/2023/10/26/bluequb...lators-and-infrastructure-to-advance-quantum-ai/  | ✓ | ⏱: 0.12s 
[05:20:43 +4s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] [COMPLETE] ● https://thequantuminsider.com/2023/10/26/bluequb...lators-and-infrastructure-to-advance-quantum-ai/  | ✓ | ⏱: 2.56s 
[05:20:43 +4s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Saved: crawl_output/5abe10e58f_thequantuminsider.com_2023_10_26_bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai.json

[05:20:44 +4s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] === 1 actor extraction ===
[05:20:44 +5s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Reading page (1/1): https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai
[05:20:44 +5s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 1/36
[05:20:53 +16s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:20:53 +16s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 2/36
[05:21:01 +24s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:21:01 +24s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 3/36
[05:21:10 +33s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:21:10 +33s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 4/36
[05:21:17 +40s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:21:17 +40s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 5/36
[05:21:24 +49s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:21:24 +49s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 6/36
[05:21:31 +56s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:21:31 +56s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 7/36
[05:21:54 +1m 21s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:21:54 +1m 21s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 8/36
[05:22:03 +1m 30s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:22:03 +1m 30s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 9/36
[05:22:10 +1m 37s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:22:10 +1m 37s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 10/36
[05:22:17 +1m 43s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:22:17 +1m 43s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 11/36
[05:22:23 +1m 52s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:22:23 +1m 52s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 12/36
[05:22:51 +2m 20s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:22:51 +2m 20s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 13/36
[05:22:57 +2m 27s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:22:57 +2m 27s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 14/36
[05:23:04 +2m 35s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:23:04 +2m 35s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 15/36
[05:23:10 +2m 41s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:23:10 +2m 41s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 16/36
[05:23:17 +2m 47s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Repaired malformed JSON.
[05:23:17 +2m 47s | thequantuminsider_2023_10_26_bluequbits_algorithm_chosen_by_darpa_leveraging_gpu_simulato_9ac2aed7] Extracting actors: https://thequantuminsider.com/2023/10/26/bluequbits-algorithm-chosen-by-darpa-leveraging-gpu-simulators-and-infrastructure-to-advance-quantum-ai (1/1), chunk 17/36
